Module,Time,Vat,Cyt
6,2019-12-30 20:21:12.101331,0.775,7.0
6,2019-12-30 20:23:13.992381,0.358,121.0
6,2019-12-30 20:23:22.526007,0.419,8.0
6,2019-12-30 20:24:48.429953,0.616,84.0
6,2019-12-30 20:25:10.850434,0.537,23.0
6,2020-01-02 18:24:51.140736,0.758,8.0
6,2020-01-02 20:33:03.521342,0.735,48.0
6,2020-01-02 20:33:07.603251,0.517,4.0
6,2020-01-02 20:33:11.143809,0.754,3.0
6,2020-01-02 20:33:14.975056,0.776,3.0
6,2020-01-02 20:33:18.403121,0.576,3.0
6,2020-01-02 20:33:20.347159,0.577,1.0
6,2020-01-02 20:33:22.439289,0.536,2.0
6,2020-01-02 20:33:24.812293,0.539,2.0
6,2020-01-02 20:33:26.974817,0.555,2.0
6,2020-01-02 20:33:29.008322,0.577,2.0
6,2020-01-02 20:33:37.943510,0.577,8.0
6,2020-01-02 20:35:00.642728,0.555,82.0
6,2020-01-02 20:35:03.401588,0.576,2.0
6,2020-01-02 20:36:14.062000,0.675,10.0
6,2020-01-02 20:36:16.488960,0.676,2.0
6,2020-01-02 20:37:33.334952,0.597,76.0
6,2020-01-02 20:39:19.707529,0.577,106.0
6,2020-01-02 20:39:22.960999,0.697,3.0
6,2020-01-02 20:39:27.077382,0.855,4.0
6,2020-01-02 20:39:29.214842,0.595,2.0
6,2020-01-02 20:39:31.321309,0.615,2.0
6,2020-01-02 20:39:32.999543,0.595,1.0
6,2020-01-02 20:39:34.496262,0.577,1.0
6,2020-01-02 20:39:36.498085,0.577,1.0
6,2020-01-02 20:39:38.144458,0.596,1.0
6,2020-01-02 20:39:39.917334,0.615,1.0
6,2020-01-02 20:39:41.874843,0.437,1.0
6,2020-01-02 20:39:43.394369,0.417,1.0
6,2020-01-02 20:40:22.478024,0.617,39.0
6,2020-01-02 20:41:31.368401,0.695,68.0
6,2020-01-02 20:41:35.187953,0.596,3.0
6,2020-01-02 20:41:37.405671,0.218,2.0
6,2020-01-02 20:41:53.556738,0.638,16.0
6,2020-01-02 20:41:56.268687,0.401,2.0
6,2020-01-02 20:41:59.100826,0.417,2.0
6,2020-01-02 20:42:01.229144,0.615,2.0
6,2020-01-02 20:42:02.608713,0.258,1.0
6,2020-01-02 20:42:03.951124,0.458,1.0
6,2020-01-02 20:42:05.238034,0.418,1.0
6,2020-01-02 20:42:07.134634,0.538,1.0
6,2020-01-02 20:42:09.231532,0.437,2.0
6,2020-01-02 20:42:11.364991,0.358,2.0
6,2020-01-02 20:42:18.130325,0.397,6.0
6,2020-01-02 20:42:26.435782,0.437,8.0
6,2020-01-02 20:43:24.601339,0.576,58.0
6,2020-01-02 20:43:27.011042,0.636,2.0
6,2020-01-02 20:43:28.626970,0.417,1.0
6,2020-01-02 20:43:30.069150,0.398,1.0
6,2020-01-02 20:43:31.583053,0.537,1.0
6,2020-01-02 20:43:33.172887,0.577,1.0
6,2020-01-02 20:43:34.878352,0.536,1.0
6,2020-01-02 20:43:36.682980,0.558,1.0
6,2020-01-02 20:43:38.753249,0.555,2.0
6,2020-01-02 20:43:40.546718,0.556,1.0
6,2020-01-02 20:43:43.617429,0.556,3.0
6,2020-01-02 20:44:50.435868,0.598,65.0
6,2020-01-02 20:46:46.411792,0.635,7.0
6,2020-01-02 20:46:49.558945,0.576,3.0
6,2020-01-02 20:47:03.148570,0.575,2.0
6,2020-01-02 20:47:03.266827,0.399,3.0
6,2020-01-02 20:47:03.360741,0.837,5.0
6,2020-01-02 20:47:06.070324,0.556,4.0
6,2020-01-02 20:47:09.013746,0.516,2.0
6,2020-01-02 20:47:12.082734,0.796,3.0
6,2020-01-02 20:47:14.509330,0.576,2.0
6,2020-01-02 20:47:16.948614,0.577,2.0
6,2020-01-02 20:47:20.321273,0.615,3.0
6,2020-01-02 20:47:24.545197,0.657,4.0
6,2020-01-02 20:49:51.678050,0.596,146.0
